image_url,issue,content_type,size_bytes,img_inlinks,dimensions,source_pages,recommended_fix
https://img.shoplineapp.com/media/image_clips/699e8ab73fcca40857d1d2fe/original.png?1771997879=&owner_id=5d5a57ccf7124400016c8c54,Image over 100 KB,image/png,370503,1,,https://shopline.tw/news/shopline-payments-mpi,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6720bdb4b915cb2a11d9efa0/original.png?1730198963,Image over 100 KB,image/png,469825,1,,https://shopline.tw/pos,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/68f5dba56e3369000ca43ae1/original.png?1760943012=&owner_id=5d5a57ccf7124400016c8c54,Image over 100 KB,image/png,115102,1,,https://shopline.tw/showcase/health-and-supplements,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6763cea7397510000c24ebb0/original.png?1734594214,Image over 100 KB,image/png,203709,1,,https://shopline.tw/selectedpartners,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/66950b4c0f852000224edd59/original.png?1721043788,Image over 100 KB,image/png,147100,1,,https://shopline.tw/about/press,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/64b78bfef84ec70014f2b7d9/original.jpg?1689750525,Image over 100 KB,image/jpeg,116053,1,,https://shopline.tw/news/shopline-2023-brand-awards,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/669502788a098a001321ee99/original.png?1721041528,Image over 100 KB,image/png,211211,1,,https://shopline.tw/about/press,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/699eab47433ab024ea78d710/original.png?1772006215=&owner_id=5d5a57ccf7124400016c8c54,Image over 100 KB,image/png,357026,1,,https://shopline.tw/showcase,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/652e4f8d52a514001e910fb3/original.png?1697533837,Image over 100 KB,image/png,200458,1,,https://shopline.tw/about/press,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/689bf99ba721a1000a3acaac/original.png?1755052442,Image over 100 KB,image/png,1006121,1,,https://shopline.tw/online-store/care-product,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/676ba239d53223000d00057c/original.png?1735107129,Image over 100 KB,image/png,132335,1,,https://shopline.tw/showcase/electronics-brand,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/685cf635471187000a5710a0/original.png?1750922805,Image over 100 KB,image/png,117890,1,,https://shopline.tw/solutions/member-repurchase,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6764ee4107c77d000bf8539c/original.png?1734667840,Image over 100 KB,image/png,380341,1,,https://shopline.tw/online-store/health-and-supplements,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/680f2ac32761c0000d10bf07/original.png?1745824451,Image over 100 KB,image/png,320888,1,,https://shopline.tw/online-store/bags,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6747ee63f24b5d000a7dca96/original.png?1732767331,Image over 100 KB,image/png,117069,1,,https://shopline.tw/showcase/sport-outdoor-brand,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6746f6f454da66ae42c92a5c/original.png?1732703987,Image over 100 KB,image/png,102427,1,,https://shopline.tw/showcase/food-beverage-brand,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6710c76eb7d598000f795afb/original.png?1729152877,Image over 100 KB,image/png,109172,1,,https://shopline.tw/about/pricing/module,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6745a402920f5a000c112d71/original.png?1732617218,Image over 100 KB,image/png,583828,1,,https://shopline.tw/cooperate,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/63b5181c4e25eb001d3e1676/original.png?1672812571,Image over 100 KB,image/png,247769,1,,https://shopline.tw/news/sc-instagram-live,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/699e89d2caec2a0e8f198a70/original.png?1771997649=&owner_id=5d5a57ccf7124400016c8c54,Image over 100 KB,image/png,479995,1,,https://shopline.tw/about/press,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/67a177ab434c8c000cb94b4e/original.png?1738635179,Image over 100 KB,image/png,431908,1,,https://shopline.tw/,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/682c187b520c45000db2ad59/original.png?1747720314,Image over 100 KB,image/png,796649,1,,https://shopline.tw/online-store/fragrance-products,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6763c129023c93000e459839/original.png?1734590760,Image over 100 KB,image/png,250570,1,,https://shopline.tw/logistics,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/672b2b02865636000f5f5bb8/original.png?1730882306,Image over 100 KB,image/png,182607,1,,https://shopline.tw/targeted-marketing,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/699eab47caec2a8d4a198c41/original.png?1772006215=&owner_id=5d5a57ccf7124400016c8c54,Image over 100 KB,image/png,246089,1,,https://shopline.tw/showcase,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
