"Site Crawled","https://blog.shopline.tw/"
"Start Date","2026-09-06"
"Start Time","20:27:03"
"Last Modified Date","2026-09-06"
"Last Modified Time","21:17:53"
"Elapsed","00:50:49"
"Report Date","2026-09-07"
"Report Time","11:57:23"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Contains Canonical","2174","86.96%","2500","Internal HTML or PDF pages with 2xx response"
"Self Referencing","2029","81.16%","2500","Internal HTML or PDF pages with 2xx response"
"Canonicalised","145","5.80%","2500","Internal HTML or PDF pages with 2xx response"
"Missing","0","0.00%","2500","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","2500","Internal HTML or PDF pages with 2xx response"
"Multiple Conflicting","0","0.00%","2500","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","61","2.44%","2500","Internal HTML or PDF pages with 2xx response"
"Canonical Is Relative","0","0.00%","2500","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","2500","Internal HTML or PDF pages with 2xx response"
"Invalid Attribute In Annotation","0","0.00%","2500","Internal HTML or PDF pages with 2xx response"
"Contains Fragment URL","0","0.00%","2500","Internal HTML or PDF pages with 2xx response"
"Outside <head>","0","0.00%","2500","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","2500","100.00%","2500","Internal HTML pages with 2xx response"
"Contains Pagination","779","31.16%","2500","Internal HTML pages with 2xx response"
"First Page","79","3.16%","2500","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","700","28.00%","2500","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","12","0.48%","2500","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","2500","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","2500","Internal HTML pages with 2xx response"
"Non-Indexable","12","0.48%","2500","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","2500","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","2500","Internal HTML pages with 2xx response"
"Sequence Error","12","0.48%","2500","Internal HTML pages with 2xx response"
""
"Directives"
"All","11429","100.00%","11429","Internal URLs with 2xx response"
"Index","2174","19.02%","11429","Internal URLs with 2xx response"
"Noindex","326","2.85%","11429","Internal URLs with 2xx response"
"Follow","2500","21.87%","11429","Internal URLs with 2xx response"
"Nofollow","0","0.00%","11429","Internal URLs with 2xx response"
"None","0","0.00%","11429","Internal URLs with 2xx response"
"NoArchive","0","0.00%","11429","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","11429","Internal URLs with 2xx response"
"Max-Snippet","2174","19.02%","11429","Internal URLs with 2xx response"
"Max-Image-Preview","2174","19.02%","11429","Internal URLs with 2xx response"
"Max-Video-Preview","2174","19.02%","11429","Internal URLs with 2xx response"
"NoODP","0","0.00%","11429","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","11429","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","11429","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","11429","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","11429","Internal URLs with 2xx response"
"Refresh","0","0.00%","3799","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","11429","Internal URLs with 2xx response"
""
"Hreflang"
"All","2500","100.00%","2500","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","2500","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","2500","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","2500","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","2500","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","2500","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","2500","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","2500","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","2500","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","2500","Internal pages with 2xx response"
