"Site Crawled","https://shopline.tw/"
"Start Date","2026-09-06"
"Start Time","20:21:35"
"Last Modified Date","2026-09-06"
"Last Modified Time","20:24:42"
"Elapsed","00:03:07"
"Report Date","2026-09-07"
"Report Time","11:56:13"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Contains Unsupported Plugins","0","0.00%","97",""
"Mobile Alternate Link","0","0.00%","97",""
""
"Accessibility"
"All","97","100.00%","97",""
"Accessibility Score Poor","0","0.00%","97",""
"Accessibility Score Needs Improvement","0","0.00%","97",""
"Accessibility Score Good","0","0.00%","97",""
"WCAG 2.0 A Violation","0","0.00%","97",""
"WCAG 2.0 AA Violation","0","0.00%","97",""
"WCAG 2.0 AAA Violation","0","0.00%","97",""
"WCAG 2.1 AA Violation","0","0.00%","97",""
"WCAG 2.2 AA Violation","0","0.00%","97",""
"Best Practice Violation","0","0.00%","97",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","97",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","97",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","97",""
"Scrollable Region Requires Keyboard Access","0","0.00%","97",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","97",""
"Required ARIA Attributes Must Be Provided","0","0.00%","97",""
"Role=text Should Have No Focusable Descendants","0","0.00%","97",""
"ARIA Attribute Must Be Used As Specified For Role","0","0.00%","97",""
"ARIA Attributes Require Valid Values","0","0.00%","97",""
"ARIA Attributes Require Valid Names","0","0.00%","97",""
"ARIA Commands Require Accessible Name","0","0.00%","97",""
"ARIA Dialog & Alertdialog Require Accessible Name","0","0.00%","97",""
"ARIA Input Fields Require Accessible Name","0","0.00%","97",""
"ARIA Meter Nodes Require Accessible Name","0","0.00%","97",""
"ARIA Progressbar Nodes Require Accessible Name","0","0.00%","97",""
"ARIA Role Should Be Appropriate For Element","0","0.00%","97",""
"ARIA Roles Must Be Contained By Required Parent","0","0.00%","97",""
"ARIA Roles Require Valid Values","0","0.00%","97",""
"ARIA Toggle Fields Require Accessible Name","0","0.00%","97",""
"ARIA Tooltip Nodes Require Accessible Name","0","0.00%","97",""
"ARIA Treeitem Nodes Require Accessible Name","0","0.00%","97",""
"Certain ARIA Roles Must Contain Specific Children","0","0.00%","97",""
"Deprecated ARIA Roles Must Not Be Used","0","0.00%","97",""
"Aria-braille Require Non-braille Equivalent","0","0.00%","97",""
"Aria-hidden Elements Contains Focusable Elements","0","0.00%","97",""
"Aria-hidden=true Must Not Be Used In <body>","0","0.00%","97",""
"Elements Must Only Use Permitted ARIA Attributes","0","0.00%","97",""
"Elements Must Use Allowed ARIA Attributes","0","0.00%","97",""
"IDs Used In ARIA & Labels Must Be Unique","0","0.00%","97",""
"Page Requires Means To Bypass Repeated Blocks","0","0.00%","97",""
"All Page Content Must Be Contained By Landmarks","0","0.00%","97",""
"Page Requires One Main Landmark","0","0.00%","97",""
"Page Must Not Have More Than One Banner Landmark","0","0.00%","97",""
"Banner Landmark Must Not Be In Another Landmark","0","0.00%","97",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0.00%","97",""
"Page Requires At Most One Main Landmark","0","0.00%","97",""
"Complementary Landmarks & Asides Must Be Top Level","0","0.00%","97",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0.00%","97",""
"Main Landmark Must Not Be In Another Landmark","0","0.00%","97",""
"Landmarks Require Unique Role Or Accessible Name","0","0.00%","97",""
"Form Field Must Not Have Multiple Label Elements","0","0.00%","97",""
"Form <input> Elements Require Labels","0","0.00%","97",""
"Form Elements Should Have Visible Label","0","0.00%","97",""
"Autocomplete Attribute Must Be Used Correctly","0","0.00%","97",""
"Frames Require Title Attribute","0","0.00%","97",""
"Frames Require Unique Title Attribute","0","0.00%","97",""
"Frames Should Be Tested With axe-core","0","0.00%","97",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0.00%","97",""
"Page Must Contain <title>","0","0.00%","97",""
"Page Must Contain <h1>","0","0.00%","97",""
"Heading Levels Should Only Increase By One","0","0.00%","97",""
"Headings Should Not Be Empty","0","0.00%","97",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0.00%","97",""
"Meta Viewport Zoom & Scaling Disabled","0","0.00%","97",""
"HTML Element Lang Attribute Value Must Be Valid","0","0.00%","97",""
"HTML Element Requires Lang Attribute","0","0.00%","97",""
"HTML Lang & XML Lang Value Should Match","0","0.00%","97",""
"Lang Attribute Requires Valid Value","0","0.00%","97",""
"Delayed Meta Refresh Must Not Be Used","0","0.00%","97",""
"Timed Meta Refresh Must Not Exist","0","0.00%","97",""
"Image Button Requires Alternate Text","0","0.00%","97",""
"Images Require Alternate Text","0","0.00%","97",""
"<object> Elements Require Alternate Text","0","0.00%","97",""
"Active <area> Elements Require Alternate Text","0","0.00%","97",""
"Alt Text Should Not Be Repeated As Text","0","0.00%","97",""
"Elements Marked role=img Require Alternate Text","0","0.00%","97",""
"SVG Images & Graphics Require Accessible Text","0","0.00%","97",""
"Server-Side Image Maps Must Not Be Used","0","0.00%","97",""
"<video> Elements Require <track> For Captions","0","0.00%","97",""
"<video> or <audio> Elements Must Not Auto-play","0","0.00%","97",""
"Buttons Require Discernible Text","0","0.00%","97",""
"Input Buttons Require Discernible Text","0","0.00%","97",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","97",""
"Links Must Be Distinguishable","0","0.00%","97",""
"Links Require Discernible Text","0","0.00%","97",""
"Links With Same Accessible Name","0","0.00%","97",""
"Select Element Requires Accessible Name","0","0.00%","97",""
"Summary Elements Require Discernible Text","0","0.00%","97",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","97",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","97",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","97",""
"Text Requires Higher Color Contrast to Background","0","0.00%","97",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","97",""
"Interactive Controls Must Not Be Nested","0","0.00%","97",""
"List Items Must Be Contained In List Elements","0","0.00%","97",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","97",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","97",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","97",""
"<th> Element Requires Associated Data Cells","0","0.00%","97",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","97",""
"Table Headers Require Discernible Text","0","0.00%","97",""
"Table With Identical Summary & Caption Text","0","0.00%","97",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","97",""
""
"Custom Search"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
""
"Analytics"
"All","102","100.00%","102","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","102","Internal URLs with associated Google Analytics data"
